OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1768295,TIMBERLEA VILLAGE PKY,TIMBERLEA VILLAGE,PKY,Timberlea Village Pky,Timberlea Village,TIMBERLEA,TIMBERLEA,15466,15466,2566.639078
1768296,LUCASVILLE RD,LUCASVILLE,RD,Lucasville Rd,Lucasville,HAMMONDS PLAINS,HAMMONDS PLAINS,8081,8081,3978.768448
1768297,SECOND ST,SECOND,ST,Second St,Second,HAMMONDS PLAINS,HAMMONDS PLAINS,8663,8663,431.6123035
1768298,HIGHWAY 111 EB EXIT 2 VICTORIA RD SB RAMP,HIGHWAY 111 EB EXIT 2 VICTORIA RD SB,RAMP,,,DARTMOUTH,DARTMOUTH,15126,15126,946.4961813
1768299,VICTORIA RD SB EXIT 2 HIGHWAY 111 EB RAMP,VICTORIA RD SB EXIT 2 HIGHWAY 111 EB,RAMP,,,DARTMOUTH,DARTMOUTH,15127,15127,520.1458858
1768300,UNDER REVIEW  601 UN,UNDER REVIEW  601,UN,Under Review  601 Un,Under Review  601,SMITHS SETTLEMENT,SMITHS SETTLEMENT,99931,99931,196.2150301
1768301,VICTORIA RD SB EXIT 2 HIGHWAY 111 WB RAMP,VICTORIA RD SB EXIT 2 HIGHWAY 111 WB,RAMP,,,DARTMOUTH,DARTMOUTH,15128,15128,844.6161435
1768302,RESIDENCE WALK,RESIDENCE,WALK,Residence Walk,Residence,HALIFAX,HALIFAX,66804,66804,210.5011622
1768303,WINEBERRY WAY,WINEBERRY,WAY,Wineberry Way,Wineberry,UPPER SACKVILLE,UPPER SACKVILLE,66712,66712,293.9939267
1768304,TANTLING CRES,TANTLING,CRES,Tantling Cres,Tantling,DARTMOUTH,DARTMOUTH,6647,6647,642.0365669
1768305,HIGHWAY 357,HIGHWAY 357, ,Highway 357,Highway 357,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,10459,10459,17268.35961
1768306,SAXBURY LANE,SAXBURY,LANE,Saxbury Lane,Saxbury,MIDDLE SACKVILLE,MIDDLE SACKVILLE,16689,16689,241.963389
