OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1765874,MCDONALD LAKE DR,MCDONALD LAKE,DR,Mcdonald Lake Dr,Mcdonald Lake,HATCHET LAKE,HATCHET LAKE,8174,8174,1104.207953
1765875,MCDOUGALL RD,MCDOUGALL,RD,Mcdougall Rd,Mcdougall,COOKS BROOK,COOKS BROOK,8176,8176,1640.262699
1765876,MCFETRIDGE RD,MCFETRIDGE,RD,Mcfetridge Rd,Mcfetridge,CHASWOOD,CHASWOOD,8177,8177,3784.18733
1765877,MCGRATHS COVE RD,MCGRATHS COVE,RD,Mcgraths Cove Rd,Mcgraths Cove,MCGRATHS COVE,MCGRATHS COVE,8178,8178,2404.393659
1765878,MCKAY LANE,MCKAY,LANE,Mckay Lane,Mckay,EASTERN PASSAGE,EASTERN PASSAGE,8180,8180,504.4892908
1765879,PENNS RD,PENNS,RD,Penns Rd,Penns,SHAD BAY,SHAD BAY,8430,8430,153.6333342
1765880,PENTICTON DR,PENTICTON,DR,Penticton Dr,Penticton,EAST PRESTON,EAST PRESTON,8432,8432,218.4289411
1765881,PERRY GRANT DR,PERRY GRANT,DR,Perry Grant Dr,Perry Grant,MEAGHERS GRANT,MEAGHERS GRANT,8436,8436,2061.836152
1765882,MAPLE DR,MAPLE,DR,Maple Dr,Maple,MIDDLE MUSQUODOBOIT,MIDDLE MUSQUODOBOIT,8126,8126,596.5523698
1765883,MAPLE DR,MAPLE,DR,Maple Dr,Maple,WHITES LAKE,WHITES LAKE,8127,8127,220.5525731
1765884,MAPLE PL,MAPLE,PL,Maple Pl,Maple,UPPER TANTALLON,UPPER TANTALLON,8130,8130,208.3689115
1765885,MAPLEWOOD CRT,MAPLEWOOD,CRT,Maplewood Crt,Maplewood,BEAVER BANK,BEAVER BANK,8135,8135,469.9269562
1765886,MAPLEWOOD DR,MAPLEWOOD,DR,Maplewood Dr,Maplewood,TIMBERLEA,TIMBERLEA,8136,8136,850.4612197
1765887,PADDINGTON WAY,PADDINGTON,WAY,Paddington Way,Paddington,STILLWATER LAKE,STILLWATER LAKE,8394,8394,161.538959
1765888,PALMER RD,PALMER,RD,Palmer Rd,Palmer,WAVERLEY,WAVERLEY,8396,8396,385.5847065
1765889,PANAVISTA DR,PANAVISTA,DR,Panavista Dr,Panavista,WESTPHAL,WESTPHAL,8397,8397,509.0608851
1765890,PARK TERR,PARK,TERR,Park Terr,Park,HAMMONDS PLAINS,HAMMONDS PLAINS,8400,8400,226.2433753
1765891,PARKCREST DR,PARKCREST,DR,Parkcrest Dr,Parkcrest,LAWRENCETOWN,LAWRENCETOWN,8403,8403,1084.253286
1765892,PARKDALE AVE,PARKDALE,AVE,Parkdale Ave,Parkdale,TIMBERLEA,TIMBERLEA,8404,8404,1126.403554
1765893,PARKER HILL RD,PARKER HILL,RD,Parker Hill Rd,Parker Hill,UPPER MUSQUODOBOIT,UPPER MUSQUODOBOIT,8406,8406,1469.734172
1765894,SOUTHGATE DR,SOUTHGATE,DR,Southgate Dr,Southgate,BEDFORD,BEDFORD,16002,16002,2389.907144
1765895,BLUESTONE RD,BLUESTONE,RD,Bluestone Rd,Bluestone,MONTAGUE GOLD MINES,MONTAGUE GOLD MINES,16009,16009,3289.371513
1765896,ALBERT WALKER DR,ALBERT WALKER,DR,Albert Walker Dr,Albert Walker,HALIFAX,HALIFAX,16010,16010,587.0388182
1765897,STELLA DR,STELLA,DR,Stella Dr,Stella,PORTERS LAKE,PORTERS LAKE,16299,16299,735.8686356
1765898,PEARL LANE,PEARL,LANE,Pearl Lane,Pearl,TANTALLON,TANTALLON,16472,16472,432.9364699
1765899,OWEN DR,OWEN,DR,Owen Dr,Owen,BEAVER BANK,BEAVER BANK,16473,16473,163.78377
1765900,BERT FOX RD,BERT FOX,RD,Bert Fox Rd,Bert Fox,ELDERBANK,ELDERBANK,16474,16474,252.4982985
1765901,GARDENERS WALK,GARDENERS,WALK,Gardeners Walk,Gardeners,BEAVER BANK,BEAVER BANK,16475,16475,365.7697502
1765902,DAISYWOOD DR,DAISYWOOD,DR,Daisywood Dr,Daisywood,HAMMONDS PLAINS,HAMMONDS PLAINS,16476,16476,1732.106733
1765903,KENWOOD AVE,KENWOOD,AVE,Kenwood Ave,Kenwood,HAMMONDS PLAINS,HAMMONDS PLAINS,7919,7919,281.3325625
1765904,KERRY DR,KERRY,DR,Kerry Dr,Kerry,LAWRENCETOWN,LAWRENCETOWN,7920,7920,685.4046471
1765905,KETCH CRT,KETCH,CRT,Ketch Crt,Ketch,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,7921,7921,765.5484283
1765906,KINCLAVEN DR,KINCLAVEN,DR,Kinclaven Dr,Kinclaven,FALL RIVER,FALL RIVER,7925,7925,667.8525291
1765907,SUMMER LANE,SUMMER,LANE,Summer Lane,Summer,WELLINGTON,WELLINGTON,7927,7927,430.4818917
1765908,SIDING LANE,SIDING,LANE,Siding Lane,Siding,OAKFIELD,OAKFIELD,7928,7928,148.9074124
1765909,CHRISTOPHER KING LANE,CHRISTOPHER KING,LANE,Christopher King Lane,Christopher King,OAKFIELD,OAKFIELD,7930,7930,451.8958178
1765910,MERGANSER AVE,MERGANSER,AVE,Merganser Ave,Merganser,TIMBERLEA,TIMBERLEA,8204,8204,764.3452192
1765911,RIDGEWOOD DR,RIDGEWOOD,DR,Ridgewood Dr,Ridgewood,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,8534,8534,643.5417819
1765912,RILEY RD,RILEY,RD,Riley Rd,Riley,HAMMONDS PLAINS,HAMMONDS PLAINS,8535,8535,1513.740549
1765913,RITA LANE,RITA,LANE,Rita Lane,Rita,BEAVER BANK,BEAVER BANK,8537,8537,80.4653489
1765914,PARTRIDGE NEST DR,PARTRIDGE NEST,DR,Partridge Nest Dr,Partridge Nest,MINEVILLE,MINEVILLE,8416,8416,835.3667503
1765915,PATTON RD,PATTON,RD,Patton Rd,Patton,UPPER SACKVILLE,UPPER SACKVILLE,8421,8421,3217.546137
1765916,PAUL DAVID DR,PAUL DAVID,DR,Paul David Dr,Paul David,MIDDLE SACKVILLE,MIDDLE SACKVILLE,8422,8422,401.2573496
1765917,PEMBROOKE ST,PEMBROOKE,ST,Pembrooke St,Pembrooke,WAVERLEY,WAVERLEY,8428,8428,388.2666902
1765918,PENNINGTON DR,PENNINGTON,DR,Pennington Dr,Pennington,BEAVER BANK,BEAVER BANK,8429,8429,471.8122052
1765919,KILLEN LANE,KILLEN,LANE,Killen Lane,Killen,ELDERBANK,ELDERBANK,10054,10054,918.4159452
1765920,MALLARD DR,MALLARD,DR,Mallard Dr,Mallard,HUBLEY,HUBLEY,8118,8118,1204.398543
1765921,MANCHESTER DR,MANCHESTER,DR,Manchester Dr,Manchester,STILLWATER LAKE,STILLWATER LAKE,8119,8119,478.406598
1765922,MANDAVILLE DR,MANDAVILLE,DR,Mandaville Dr,Mandaville,UPPER SACKVILLE,UPPER SACKVILLE,8120,8120,767.9020573
1765923,MAPLE DR,MAPLE,DR,Maple Dr,Maple,TIMBERLEA,TIMBERLEA,8124,8124,611.8612378
1765924,MAPLE DR,MAPLE,DR,Maple Dr,Maple,LAWRENCETOWN,LAWRENCETOWN,8125,8125,485.6943429
1765925,CHALAMONT DR,CHALAMONT,DR,Chalamont Dr,Chalamont,HAMMONDS PLAINS,HAMMONDS PLAINS,7245,7245,1304.639407
1765926,CHAMBERLAIN DR,CHAMBERLAIN,DR,Chamberlain Dr,Chamberlain,WESTPHAL,WESTPHAL,7246,7246,940.9128067
1765927,CHARLES RD,CHARLES,RD,Charles Rd,Charles,TIMBERLEA,TIMBERLEA,7252,7252,2214.424642
1765928,CHARLES GRAY RD,CHARLES GRAY,RD,Charles Gray Rd,Charles Gray,WEST PENNANT,WEST PENNANT,7253,7253,1020.456885
1765929,CHARLESWOOD DR,CHARLESWOOD,DR,Charleswood Dr,Charleswood,WINDSOR JUNCTION,WINDSOR JUNCTION,7256,7256,808.9326549
1765930,CHARTWELL RD,CHARTWELL,RD,Chartwell Rd,Chartwell,WINDSOR JUNCTION,WINDSOR JUNCTION,7257,7257,229.616286
1765931,MEADOW RD,MEADOW,RD,Meadow Rd,Meadow,CHASWOOD,CHASWOOD,7260,7260,4640.26084
1765932,CHATER DR,CHATER,DR,Chater Dr,Chater,EAST PRESTON,EAST PRESTON,7261,7261,399.7863397
1765933,ROSEHEDGE LANE,ROSEHEDGE,LANE,Rosehedge Lane,Rosehedge,DARTMOUTH,DARTMOUTH,6579,6579,248.9960169
1765934,RUBEN CRT,RUBEN,CRT,Ruben Crt,Ruben,DARTMOUTH,DARTMOUTH,6585,6585,346.4505747
1765935,SARATOGA DR,SARATOGA,DR,Saratoga Dr,Saratoga,DARTMOUTH,DARTMOUTH,6593,6593,965.2226626
1765936,SCOTSBURN AVE,SCOTSBURN,AVE,Scotsburn Ave,Scotsburn,DARTMOUTH,DARTMOUTH,6597,6597,124.6476237
1765937,SHEILING LANE,SHEILING,LANE,Sheiling Lane,Sheiling,DARTMOUTH,DARTMOUTH,6605,6605,87.84893126
1765938,SHORT ST,SHORT,ST,Short St,Short,DARTMOUTH,DARTMOUTH,6609,6609,216.7054999
1765939,BOWSER AVE,BOWSER,AVE,Bowser Ave,Bowser,DARTMOUTH,DARTMOUTH,6077,6077,514.4054089
1765940,GUYSBOROUGH AVE,GUYSBOROUGH,AVE,Guysborough Ave,Guysborough,DARTMOUTH,DARTMOUTH,6297,6297,1173.578197
1765941,HILTON DR,HILTON,DR,Hilton Dr,Hilton,DARTMOUTH,DARTMOUTH,6324,6324,295.6452109
1765942,PURCELLS COVE RD,PURCELLS COVE,RD,Purcells Cove Rd,Purcells Cove,FERGUSONS COVE,FERGUSONS COVE,8493,8493,2007.533134
1765943,PURNACHANDRA DR,PURNACHANDRA,DR,Purnachandra Dr,Purnachandra,GLEN MARGARET,GLEN MARGARET,8494,8494,222.8639833
1765944,QUEENS RD,QUEENS,RD,Queens Rd,Queens,LAWRENCETOWN,LAWRENCETOWN,8498,8498,275.0362082
1765945,RAINES MILL RD,RAINES MILL,RD,Raines Mill Rd,Raines Mill,LAKESIDE,LAKESIDE,8504,8504,669.3498573
1765946,POPLAR DR,POPLAR,DR,Poplar Dr,Poplar,COLE HARBOUR,COLE HARBOUR,8475,8475,3002.998607
1765947,KIRTLAND CRT,KIRTLAND,CRT,Kirtland Crt,Kirtland,COLE HARBOUR,COLE HARBOUR,7941,7941,315.3410593
1765948,SHANNON DR,SHANNON,DR,Shannon Dr,Shannon,EAST PRESTON,EAST PRESTON,8681,8681,297.7824829
1765949,SHANNON DR,SHANNON,DR,Shannon Dr,Shannon,FALL RIVER,FALL RIVER,8682,8682,321.1947
1765950,HIGHWAY 374,HIGHWAY 374, ,Highway 374,Highway 374,LOCHABER MINES,LOCHABER MINES,8688,8688,10733.12516
1765951,SHEFFIELD CRT,SHEFFIELD,CRT,Sheffield Crt,Sheffield,FALL RIVER,FALL RIVER,8690,8690,356.3651118
1765952,SHELDRAKE CRES,SHELDRAKE,CRES,Sheldrake Cres,Sheldrake,HUBLEY,HUBLEY,8691,8691,969.4989939
1765953,SHELLY CRES,SHELLY,CRES,Shelly Cres,Shelly,GAETZ BROOK,GAETZ BROOK,8693,8693,712.464441
1765954,SHEPHERDS LANE,SHEPHERDS,LANE,Shepherds Lane,Shepherds,LAWRENCETOWN,LAWRENCETOWN,8694,8694,1669.044772
1765955,SHERRI LANE,SHERRI,LANE,Sherri Lane,Sherri,BEAVER BANK,BEAVER BANK,8695,8695,958.9398491
1765956,ABBEY RD,ABBEY,RD,Abbey Rd,Abbey,STILLWATER LAKE,STILLWATER LAKE,10059,10059,2586.843884
1765957,ALBEN LANE,ALBEN,LANE,Alben Lane,Alben,WELLINGTON,WELLINGTON,10063,10063,1008.624219
1765958,ALEXANDER RD,ALEXANDER,RD,Alexander Rd,Alexander,HARTLIN SETTLEMENT,HARTLIN SETTLEMENT,10064,10064,262.1818123
1765959,BROWNSEA RD,BROWNSEA,RD,Brownsea Rd,Brownsea,ANTRIM,ANTRIM,4374,4374,4455.826796
1765960,TACHE ST,TACHE,ST,Tache St,Tache,LOWER SACKVILLE,LOWER SACKVILLE,8836,8836,287.4971805
1765961,CAUDLE PARK CRES,CAUDLE PARK,CRES,Caudle Park Cres,Caudle Park,LOWER SACKVILLE,LOWER SACKVILLE,7235,7235,655.2549448
1765962,PADDOCK LANE,PADDOCK,LANE,Paddock Lane,Paddock,UPPER SACKVILLE,UPPER SACKVILLE,16005,16005,192.8785991
1765963,PORTCHESTER GATE,PORTCHESTER,GATE,Portchester Gate,Portchester,STILLWATER LAKE,STILLWATER LAKE,16006,16006,205.6659569
1765964,RUMRUNNERS LANE,RUMRUNNERS,LANE,Rumrunners Lane,Rumrunners,TANTALLON,TANTALLON,15746,15746,340.727407
1765965,PONDS LANE,PONDS,LANE,Ponds Lane,Ponds,TANTALLON,TANTALLON,15747,15747,361.6691984
1765966,PERCY PITTS DR,PERCY PITTS,DR,Percy Pitts Dr,Percy Pitts,TANTALLON,TANTALLON,15748,15748,372.6341123
1765967,CLEARPOINTE LANE,CLEARPOINTE,LANE,Clearpointe Lane,Clearpointe,BOUTILIERS POINT,BOUTILIERS POINT,15750,15750,481.925504
1765968,DANNYS LANE,DANNYS,LANE,Dannys Lane,Dannys,UPPER TANTALLON,UPPER TANTALLON,15751,15751,575.8631467
1765969,SHOAL COVE RD,SHOAL COVE,RD,Shoal Cove Rd,Shoal Cove,SEABRIGHT,SEABRIGHT,15752,15752,479.3925548
1765970,OLD GUYSBOROUGH RD,OLD GUYSBOROUGH,RD,Old Guysborough Rd,Old Guysborough,ANTRIM,ANTRIM,8356,8356,5005.696555
1765971,DAVIS DR,DAVIS,DR,Davis Dr,Davis,BEAVER BANK,BEAVER BANK,7386,7386,1117.043694
1765972,DAVISON DR,DAVISON,DR,Davison Dr,Davison,FALL RIVER,FALL RIVER,7389,7389,129.8626368
1765973,DAY HOLLOW DR,DAY HOLLOW,DR,Day Hollow Dr,Day Hollow,FLETCHERS LAKE,FLETCHERS LAKE,7391,7391,278.4358373
1765974,DEAN BACK RD,DEAN BACK,RD,Dean Back Rd,Dean Back,DEAN,DEAN,7392,7392,7014.798341
1765975,DEBBIE DR,DEBBIE,DR,Debbie Dr,Debbie,BEAVER BANK,BEAVER BANK,7394,7394,262.7544435
1765976,DEEPWOOD DR,DEEPWOOD,DR,Deepwood Dr,Deepwood,HAMMONDS PLAINS,HAMMONDS PLAINS,7396,7396,1595.045253
1765977,DEERWOOD DR,DEERWOOD,DR,Deerwood Dr,Deerwood,MINEVILLE,MINEVILLE,7398,7398,591.8560536
1765978,DELANEY DR,DELANEY,DR,Delaney Dr,Delaney,BEAVER BANK,BEAVER BANK,7400,7400,678.7325091
1765979,DELMERLE DR,DELMERLE,DR,Delmerle Dr,Delmerle,WHITES LAKE,WHITES LAKE,7401,7401,1213.67248
1765980,HALFWAY LAKE DR,HALFWAY LAKE,DR,Halfway Lake Dr,Halfway Lake,HAMMONDS PLAINS,HAMMONDS PLAINS,7682,7682,2445.167965
1765981,HALL RD,HALL,RD,Hall Rd,Hall,WAVERLEY,WAVERLEY,7683,7683,660.3710878
1765982,GARLAND AVE,GARLAND,AVE,Garland Ave,Garland,DARTMOUTH,DARTMOUTH,16201,16201,1121.096926
1765983,STONE TERR,STONE,TERR,Stone Terr,Stone,BEDFORD,BEDFORD,5171,5171,246.2842794
1765984,BULLFROG LANE,BULLFROG,LANE,Bullfrog Lane,Bullfrog,BEAR COVE,BEAR COVE,16466,16466,293.5934849
1765985,NANCY LANE,NANCY,LANE,Nancy Lane,Nancy,LAWRENCETOWN,LAWRENCETOWN,16467,16467,248.783969
1765986,HIGHWAY 103 EB EXIT 4 ON RAMP,HIGHWAY 103 EB EXIT 4 ON,RAMP,Highway 103 EB Exit 4 On Ramp,Highway 103 EB Exit 4 On,TIMBERLEA,TIMBERLEA,15105,15105,1031.40187
1765987,SUNNYWOOD RD,SUNNYWOOD,RD,Sunnywood Rd,Sunnywood,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,8818,8818,1001.048413
1765988,SUNRISE LANE,SUNRISE,LANE,Sunrise Lane,Sunrise,SEABRIGHT,SEABRIGHT,8820,8820,501.866937
1765989,SUNSET CRT,SUNSET,CRT,Sunset Crt,Sunset,HATCHET LAKE,HATCHET LAKE,8821,8821,430.8821391
1765990,SUNSET DR,SUNSET,DR,Sunset Dr,Sunset,GLEN HAVEN,GLEN HAVEN,8822,8822,1508.187759
1765991,SUNSET DR,SUNSET,DR,Sunset Dr,Sunset,WATT SECTION,WATT SECTION,8823,8823,648.9701159
1765992,ROBINSON DR,ROBINSON,DR,Robinson Dr,Robinson,FALL RIVER,FALL RIVER,8556,8556,1346.280302
1765993,LAWRENCE ROBINSON LANE,LAWRENCE ROBINSON,LANE,Lawrence Robinson Lane,Lawrence Robinson,WINDSOR JUNCTION,WINDSOR JUNCTION,8557,8557,132.8670237
1765994,ROBINSON RD,ROBINSON,RD,Robinson Rd,Robinson,LAWRENCETOWN,LAWRENCETOWN,8558,8558,757.303545
1765995,OSPREY WAY,OSPREY,WAY,Osprey Way,Osprey,LAWRENCETOWN,LAWRENCETOWN,8559,8559,1420.872244
1765996,ROBLEA DR,ROBLEA,DR,Roblea Dr,Roblea,PORTERS LAKE,PORTERS LAKE,8560,8560,459.8928672
1765997,ROCKCLIFFE DR,ROCKCLIFFE,DR,Rockcliffe Dr,Rockcliffe,LAKESIDE,LAKESIDE,8562,8562,161.5014877
1765998,SOPHIA CRES,SOPHIA,CRES,Sophia Cres,Sophia,COLE HARBOUR,COLE HARBOUR,8746,8746,373.1512545
1765999,ROBAR DR,ROBAR,DR,Robar Dr,Robar,DARTMOUTH,DARTMOUTH,6567,6567,100.794253
1766000,CHARLOIS CRT,CHARLOIS,CRT,Charlois Crt,Charlois,DARTMOUTH,DARTMOUTH,6128,6128,347.6307066
1766001,GARSHAN RD,GARSHAN,RD,Garshan Rd,Garshan,DARTMOUTH,DARTMOUTH,6262,6262,397.8647012
1766002,DUMBARTON AVE,DUMBARTON,AVE,Dumbarton Ave,Dumbarton,DARTMOUTH,DARTMOUTH,6193,6193,692.9806717
1766003,GERTRUDE DR,GERTRUDE,DR,Gertrude Dr,Gertrude,DARTMOUTH,DARTMOUTH,6268,6268,287.747168
1766004,KENT RD,KENT,RD,Kent Rd,Kent,PLEASANT POINT,PLEASANT POINT,7918,7918,641.072392
1766005,LISCOMB CRT,LISCOMB,CRT,Liscomb Crt,Liscomb,DARTMOUTH,DARTMOUTH,6399,6399,241.6489159
1766006,ALDER ST,ALDER,ST,Alder St,Alder,DARTMOUTH,DARTMOUTH,6011,6011,118.3188758
1766007,CEDAR CRT,CEDAR,CRT,Cedar Crt,Cedar,MIDDLE SACKVILLE,MIDDLE SACKVILLE,7240,7240,330.7511261
1766008,CEDAR DR,CEDAR,DR,Cedar Dr,Cedar,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,7242,7242,386.3620514
1766009,ROLAND AVE,ROLAND,AVE,Roland Ave,Roland,TIMBERLEA,TIMBERLEA,8568,8568,148.7956929
1766010,ROLAND RD,ROLAND,RD,Roland Rd,Roland,FALL RIVER,FALL RIVER,8569,8569,240.3457943
1766011,ROLLING HILLS DR,ROLLING HILLS,DR,Rolling Hills Dr,Rolling Hills,WAVERLEY,WAVERLEY,8570,8570,2406.835929
1766012,RONDA DR,RONDA,DR,Ronda Dr,Ronda,PORTERS LAKE,PORTERS LAKE,8573,8573,154.8816276
1766013,ROSALIE AVE,ROSALIE,AVE,Rosalie Ave,Rosalie,PROSPECT BAY,PROSPECT BAY,8575,8575,573.7147091
1766014,ROSEWOOD AVE,ROSEWOOD,AVE,Rosewood Ave,Rosewood,TIMBERLEA,TIMBERLEA,8578,8578,694.2911563
1766015,ANCONA PL,ANCONA,PL,Ancona Pl,Ancona,DARTMOUTH,DARTMOUTH,6017,6017,358.2893188
1766016,ROCKCLIFFE DR,ROCKCLIFFE,DR,Rockcliffe Dr,Rockcliffe,ENFIELD,ENFIELD,8563,8563,2869.991793
1766017,ROCKWOOD HILLS DR,ROCKWOOD HILLS,DR,Rockwood Hills Dr,Rockwood Hills,TIMBERLEA,TIMBERLEA,8564,8564,458.713408
1766018,DESERT LANE,DESERT,LANE,Desert Lane,Desert,GRAND DESERT,GRAND DESERT,66777,66777,326.4671095
1766019,GEORGE REDMOND DR,GEORGE REDMOND,DR,George Redmond Dr,George Redmond,WEST CHEZZETCOOK,WEST CHEZZETCOOK,8516,8516,138.736172
1766020,REDMOND RD,REDMOND,RD,Redmond Rd,Redmond,HEAD OF CHEZZETCOOK,HEAD OF CHEZZETCOOK,8517,8517,223.5749248
1766021,REG MOIR DR,REG MOIR,DR,Reg Moir Dr,Reg Moir,WAVERLEY,WAVERLEY,8520,8520,270.052018
1766022,REGENCY CRT,REGENCY,CRT,Regency Crt,Regency,FALL RIVER,FALL RIVER,8521,8521,239.1981359
1766023,REGWOOD DR,REGWOOD,DR,Regwood Dr,Regwood,WINDSOR JUNCTION,WINDSOR JUNCTION,8522,8522,812.0730436
1766024,CANAVAN DR,CANAVAN,DR,Canavan Dr,Canavan,BEAVER BANK,BEAVER BANK,7203,7203,679.8372829
1766025,CANDLEWOOD DR,CANDLEWOOD,DR,Candlewood Dr,Candlewood,PORTERS LAKE,PORTERS LAKE,7205,7205,1147.523409
1766026,CANDY MOUNTAIN RD,CANDY MOUNTAIN,RD,Candy Mountain Rd,Candy Mountain,MINEVILLE,MINEVILLE,7207,7207,3178.125746
1766027,CAPRI DR,CAPRI,DR,Capri Dr,Capri,WEST PORTERS LAKE,WEST PORTERS LAKE,7210,7210,3311.31127
1766028,CARIBOU RD,CARIBOU,RD,Caribou Rd,Caribou,UPPER SACKVILLE,UPPER SACKVILLE,7211,7211,970.3144683
1766029,ELAINE DR,ELAINE,DR,Elaine Dr,Elaine,BEAVER BANK,BEAVER BANK,7482,7482,656.4871517
1766030,JOSEPHINE CRT,JOSEPHINE,CRT,Josephine Crt,Josephine,DARTMOUTH,DARTMOUTH,6355,6355,775.6515946
1766031,MATTHEW FRANCIS CRT,MATTHEW FRANCIS,CRT,Matthew Francis Crt,Matthew Francis,DARTMOUTH,DARTMOUTH,6436,6436,175.0761575
1766032,TULLOCH WAY,TULLOCH,WAY,Tulloch Way,Tulloch,DARTMOUTH,DARTMOUTH,15709,15709,122.0973252
1766033,HALO LANE,HALO,LANE,Halo Lane,Halo,COLE HARBOUR,COLE HARBOUR,15041,15041,113.20782
1766034,RICHARDSON DR,RICHARDSON,DR,Richardson Dr,Richardson,EAST PRESTON,EAST PRESTON,8529,8529,1233.664116
1766035,CARIBOU RD,CARIBOU,RD,Caribou Rd,Caribou,UPPER MUSQUODOBOIT,UPPER MUSQUODOBOIT,7213,7213,7923.062258
1766036,CARLETON DR,CARLETON,DR,Carleton Dr,Carleton,LAKE ECHO,LAKE ECHO,7215,7215,739.4267609
1766037,CARLHEATH DR,CARLHEATH,DR,Carlheath Dr,Carlheath,WELLINGTON,WELLINGTON,7216,7216,1198.12022
1766038,CARMANS DR,CARMANS,DR,Carmans Dr,Carmans,LAWRENCETOWN,LAWRENCETOWN,7218,7218,651.0148516
1766039,CARRIAGE RD,CARRIAGE,RD,Carriage Rd,Carriage,WINDSOR JUNCTION,WINDSOR JUNCTION,7224,7224,851.8030055
1766040,CARRIE CRES,CARRIE,CRES,Carrie Cres,Carrie,BEAVER BANK,BEAVER BANK,7226,7226,500.9338011
1766041,ROBERT ST,ROBERT,ST,Robert St,Robert,FALL RIVER,FALL RIVER,8554,8554,3571.474522
1766042,BANSHEE AVE,BANSHEE,AVE,Banshee Ave,Banshee,SHEARWATER,SHEARWATER,7024,7024,568.8232678
1766043,BAR HARBOUR LANE,BAR HARBOUR,LANE,Bar Harbour Lane,Bar Harbour,WEST PENNANT,WEST PENNANT,7025,7025,812.1488376
1766044,BARRACUDA DR,BARRACUDA,DR,Barracuda Dr,Barracuda,SHEARWATER,SHEARWATER,7032,7032,483.4390289
1766045,COACH AVE,COACH,AVE,Coach Ave,Coach,FALL RIVER,FALL RIVER,7300,7300,414.7345694
1766046,KENNEDYS RD,KENNEDYS,RD,Kennedys Rd,Kennedys,BOUTILIERS POINT,BOUTILIERS POINT,7915,7915,2207.357768
1766047,KENORA DR,KENORA,DR,Kenora Dr,Kenora,WESTPHAL,WESTPHAL,7916,7916,545.3743054
1766048,LAWSON AVE,LAWSON,AVE,Lawson Ave,Lawson,DARTMOUTH,DARTMOUTH,6389,6389,703.3201375
1766049,ATHABASKAN LANE,ATHABASKAN,LANE,Athabaskan Lane,Athabaskan,DARTMOUTH,DARTMOUTH,6025,6025,114.6230199
1766050,ATHORPE DR,ATHORPE,DR,Athorpe Dr,Athorpe,DARTMOUTH,DARTMOUTH,6026,6026,1012.656441
1766051,DUNROBIN DR,DUNROBIN,DR,Dunrobin Dr,Dunrobin,DARTMOUTH,DARTMOUTH,6198,6198,355.1690593
1766052,DUBONNET DR,DUBONNET,DR,Dubonnet Dr,Dubonnet,DARTMOUTH,DARTMOUTH,6192,6192,97.94383159
1766053,BENVIE HILL RD,BENVIE HILL,RD,Benvie Hill Rd,Benvie Hill,GREENWOOD,GREENWOOD,10130,10130,5998.252396
1766054,SUNNYLEA RD,SUNNYLEA,RD,Sunnylea Rd,Sunnylea,WELLINGTON,WELLINGTON,8814,8814,1742.613184
1766055,SUNNYVIEW TERR,SUNNYVIEW,TERR,Sunnyview Terr,Sunnyview,HAMMONDS PLAINS,HAMMONDS PLAINS,8817,8817,406.4202552
1766056,HUBLEY MILL LAKE RD,HUBLEY MILL LAKE,RD,Hubley Mill Lake Rd,Hubley Mill Lake,UPPER TANTALLON,UPPER TANTALLON,7801,7801,1713.562632
1766057,CLIFFVIEW LANE,CLIFFVIEW,LANE,Cliffview Lane,Cliffview,HEAD OF JEDDORE,HEAD OF JEDDORE,16157,16157,375.8656604
1766058,EAST PETPESWICK RD,EAST PETPESWICK,RD,East Petpeswick Rd,East Petpeswick,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,10288,10288,1221.491833
1766059,ENGLISH POINT RD,ENGLISH POINT,RD,English Point Rd,English Point,MYERS POINT,MYERS POINT,10298,10298,1392.157036
1766060,WESTSIDE INLET DR,WESTSIDE INLET,DR,Westside Inlet Dr,Westside Inlet,WEST PETPESWICK,WEST PETPESWICK,15749,15749,1474.10489
1766061,BEAR HILL RD,BEAR HILL,RD,Bear Hill Rd,Bear HIll,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,7057,7057,709.623798
1766062,SHAHDAROBA WAY,SHAHDAROBA,WAY,Shahdaroba Way,Shahdaroba,LOWER SHIP HARBOUR,LOWER SHIP HARBOUR,17053,17053,434.7927021
1766063,BONSAI DR,BONSAI,DR,Bonsai Dr,Bonsai,HAMMONDS PLAINS,HAMMONDS PLAINS,17055,17055,815.0093045
1766064,ALLIE LANE,ALLIE,LANE,Allie Lane,Allie,WHITES LAKE,WHITES LAKE,17057,17057,368.1046985
1766065,SNOWS RD,SNOWS,RD,Snows Rd,Snows,HARRIGAN COVE,HARRIGAN COVE,6274,6274,1288.253999
1766066,BREAKAWAY BLVD,BREAKAWAY,BLVD,Breakaway Blvd,Breakaway,MURCHYVILLE,MURCHYVILLE,17117,17117,174.340529
1766067,HIGHWAY 102 ETA 29,HIGHWAY 102 ETA 29,,Highway 102 ETA 29,Highway 102 ETA 29,GOFFS,GOFFS,17150,17150,46.00317156
