X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.57153917,44.64672918,10993,AP156,SACKVILLE ST,HOLLIS ST,BEDFORD ROW,1,No Time Restriction,,In Service,,East,Concrete,No,Yes,2019-10-18T13:58:21.000Z,2020-01-27T13:37:02.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58785216,44.6396864,10994,AP102,EDWARD ST,COBURG RD,UNIVERSITY AVE,1,1 Hour,,In Service,,North,Grass,Yes,No,2019-10-18T12:33:34.000Z,2019-11-14T12:55:10.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59050801,44.65485372,10995,AP159,MAYNARD ST ,ROBERTS ST,CHARLES ST,2,No Time Restriction,,In Service,,North,Concrete,No,No,2019-10-18T13:58:21.000Z,2020-01-27T13:37:55.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58536129,44.64128365,10996,AP88,CARLTON ST,SPRING GARDEN RD,,1,3 Hour,,In Service,,North,Concrete,No,No,2019-10-17T13:43:50.000Z,2019-11-15T18:09:54.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5717477,44.64541863,10997,AP144,HOLLIS ST,SACKVILLE ST,SALTER ST,1,3 Hour,,In Service,,South,Concrete,No,No,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57195756,44.635489,10998,AP122,INGLIS ST,S BLAND ST,MITCHELL ST,1,3 Hour,,In Service,,Southwest,Grass,No,No,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56893589,44.64022056,10999,AP141,HOLLIS ST,BARRINGTON ST,TERMINAL RD,2,3 Hour,,In Service,,North,Both Concrete and Grass,No,No,2019-10-18T13:58:21.000Z,2020-01-27T13:32:03.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57824143,44.64367895,11000,AP100,DRESDEN ROW,SPRING GARDEN RD,ARTILLERY PL,1,3 Hour,,In Service,,North,Concrete,No,Yes,2019-10-18T12:28:10.000Z,2020-01-27T13:19:16.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57790137,44.64301005,11001,AP99,DRESDEN ROW,SPRING GARDEN RD,ARTILLERY PL,1,1 Hour,,In Service,,North,Concrete,Yes,Yes,2019-10-18T12:21:50.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57031965,44.64255938,11002,AP145,HOLLIS ST,BISHOP ST,MORRIS ST,2,2 Hour,,In Service,,South,Concrete,No,No,2019-10-18T13:58:21.000Z,2020-01-27T13:32:24.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59088859,44.63855025,11003,AP119,LEMARCHANT ST,COBURG RD,UNIVERSITY AVE,2,3 Hour,,In Service,,South,Grass,No,Yes,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58068699,44.64209658,11004,AP134,SPRING GARDEN RD,SOUTH PARK ST,SUMMER ST,1,3 Hour,,In Service,,Southwest,Concrete,Yes,No,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57586966,44.64767636,11005,AP108,GRAFTON ST,CARMICHAEL ST,PRINCE ST,2,No Time Restriction,,In Service,,Southeast,Concrete,No,No,2019-10-18T13:15:27.000Z,2020-01-27T13:21:45.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57474661,44.64574638,11006,AP111,GRAFTON ST,SACKVILLE ST,BLOWERS ST,1,30 minutes,,In Service,,North,Concrete,No,No,2019-10-18T13:18:54.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59525401,44.64978401,11007,AP36,DUNCAN ST,CHEBUCTO LANE,WINDSOR ST,2,3 Hour,,In Service,,East,Grass,Yes,No,2019-10-09T17:30:06.000Z,2020-01-27T14:02:27.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.59585555,44.65945576,11008,AP25,ALMON ST,ISLEVILLE ST,GOTTINGEN ST,2,No Time Restriction,,In Service,,Northeast,Grass,Yes,No,2019-10-09T14:47:00.000Z,2020-01-27T13:48:44.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
