rec_key,Year,School Code,School Total
308,2007,133,300
309,2007,993,917
310,2007,75,448
311,2007,507,238
312,2007,708,443
313,2007,363,354
314,2007,58,224
315,2007,67,836
316,2007,965,203
317,2007,141,138
318,2007,732,583
319,2007,366,133
320,2007,65,216
321,2007,753,376
322,2007,362,263
323,2007,60,186
324,2007,59,291
325,2007,24,230
326,2007,998,19
327,2007,70,1000
328,2007,76,534
329,2007,379,38
330,2007,62,503
331,2007,61,173
332,2007,129,183
333,2007,1108,18
334,2007,712,687
335,2007,73,354
336,2007,364,106
337,2007,967,1106
338,2007,966,497
339,2007,72,233
340,2007,55,200
341,2007,54,220
342,2007,360,154
343,2007,1110,10
344,2007,994,626
345,2007,71,801
346,2007,376,32
347,2007,699,243
348,2007,361,147
349,2007,81,516
350,2007,387,202
351,2007,145,188
352,2007,433,118
353,2007,947,502
354,2007,982,238
355,2007,744,106
356,2007,948,486
357,2007,434,91
358,2007,68,399
359,2007,218,104
360,2007,217,177
361,2007,378,218
362,2007,156,175
363,2007,57,176
364,2007,221,46
365,2007,225,258
366,2007,980,378
367,2007,219,147
368,2007,160,115
369,2007,925,150
370,2007,926,462
371,2007,405,4
372,2007,509,483
373,2007,508,453
374,2007,399,489
375,2007,216,380
376,2007,207,218
377,2007,386,432
378,2007,80,419
379,2007,210,132
380,2007,1102,9
381,2007,458,36
382,2007,917,675
383,2007,710,358
384,2007,628,117
385,2007,979,41
386,2007,627,170
387,2007,465,44
388,2007,463,163
389,2007,397,245
390,2007,402,443
391,2007,214,176
392,2007,404,145
393,2007,459,151
394,2007,460,114
395,2007,409,867
396,2007,400,102
397,2007,401,76
398,2007,439,33
399,2007,392,63
400,2007,53,308
401,2007,380,16
402,2007,1107,8
403,2007,394,178
404,2007,500,243
405,2007,167,731
406,2007,255,79
407,2007,166,95
408,2007,497,131
409,2007,511,128
410,2007,272,31
411,2007,541,402
412,2007,257,47
413,2007,709,537
414,2007,981,452
415,2007,733,181
416,2007,927,227
417,2007,79,315
418,2007,259,147
419,2007,624,120
420,2007,711,174
421,2007,410,444
422,2007,928,526
423,2007,199,229
424,2007,498,176
425,2007,716,413
426,2007,703,178
427,2007,977,342
428,2007,258,16
429,2007,256,243
430,2007,385,58
431,2007,704,272
432,2007,700,725
433,2007,701,271
434,2008,96,338
435,2008,93,127
436,2008,101,306
437,2008,640,825
438,2008,551,123
439,2008,995,465
440,2008,107,235
441,2008,962,121
442,2008,186,278
443,2008,1101,409
444,2008,996,178
445,2008,98,306
446,2008,99,138
447,2008,626,132
448,2008,442,55
449,2008,416,495
450,2008,8,874
451,2008,964,426
452,2008,668,264
453,2008,549,180
454,2008,960,297
455,2008,545,127
456,2008,206,185
457,2008,202,636
458,2008,183,93
459,2008,82,996
460,2008,83,22
461,2008,180,175
462,2008,552,284
463,2008,643,159
464,2008,997,303
465,2008,444,27
466,2008,963,356
467,2008,961,108
468,2008,929,19
469,2008,1142,131
470,2008,973,206
471,2008,203,968
472,2008,182,163
473,2008,113,264
474,2008,646,547
475,2008,972,251
476,2008,644,168
477,2008,561,353
478,2008,119,254
479,2008,984,244
480,2008,553,471
481,2008,688,752
482,2008,443,81
483,2008,117,311
484,2008,185,311
485,2008,110,230
486,2008,175,169
487,2008,667,482
488,2008,934,525
489,2008,932,409
490,2008,510,80
491,2008,974,453
492,2008,986,384
493,2008,930,300
494,2008,707,962
495,2008,975,535
496,2008,484,334
497,2008,266,140
498,2008,471,172
499,2008,143,90
500,2008,1106,328
501,2008,631,113
502,2008,390,11
503,2008,146,91
504,2008,931,444
505,2008,152,604
506,2008,149,222
507,2008,491,168
508,2008,25,212
509,2008,655,373
510,2008,936,637
511,2008,976,141
512,2008,388,160
513,2008,639,409
514,2008,634,158
515,2008,248,55
516,2008,49,110
517,2008,705,721
518,2008,6,177
519,2008,2,132
520,2008,7,424
521,2008,16,176
522,2008,20,473
523,2008,27,207
524,2008,269,35
525,2008,978,25
526,2008,919,60
527,2008,920,29
528,2008,8053,3
529,2008,14,199
530,2008,36,83
531,2008,44,1572
532,2008,1104,320
533,2008,230,130
534,2008,28,149
535,2008,47,231
536,2008,408,232
537,2008,750,363
538,2008,432,248
539,2008,17,167
540,2008,31,385
541,2008,30,317
542,2008,414,381
543,2008,665,319
544,2008,26,65
545,2008,42,855
546,2008,41,337
547,2008,1100,283
548,2008,15,120
549,2008,661,168
550,2008,38,67
551,2008,35,36
552,2008,949,296
553,2008,633,342
554,2008,5,214
555,2008,988,913
556,2008,9,252
557,2008,231,67
558,2008,989,1042
559,2008,648,174
560,2008,714,271
561,2008,649,200
562,2008,715,237
563,2008,650,312
564,2008,971,239
565,2008,50,81
566,2008,252,307
567,2008,39,121
568,2008,916,540
569,2008,240,118
570,2008,251,111
571,2008,435,76
572,2008,923,641
573,2008,11,219
574,2008,441,79
575,2008,4,107
576,2008,34,201
577,2008,992,819
578,2008,1105,535
579,2008,658,379
580,2008,51,107
581,2008,43,84
582,2008,1,195
583,2008,636,116
584,2008,428,276
585,2008,692,195
586,2008,690,241
587,2008,45,561
588,2008,40,419
589,2008,18,64
590,2008,12,216
591,2008,227,102
592,2008,3,447
