PARK_ID,HECTARES,PARK_NAME,PARK_TYPE,,,,,,,,,,,
765,0.74,ROBLEA DRIVE PARK,Neighbourhood,,,,,,,,,,,
774,0.2,SALMON RUN PARK,Neighbourhood,,,,,,,,,,,
778,0.08,BASS COURT PARK,Neighbourhood,,,,,,,,,,,
781,1.02,OCEANIC DRIVE PARK,Neighbourhood,,,,,,,,,,,
795,0.5,DOHERTY DRIVE PARK,Community,,,,,,,,,,,
796,1.84,BASTIAN POINT ROAD PARK,Neighbourhood,,,,,,,,,,,
797,0.38,GEORGE CYRIL DRIVE PARK,Neighbourhood,,,,,,,,,,,
801,1.91,DAVID ALLEN DRIVE PARK,Neighbourhood,,,,,,,,,,,
803,0.38,RUSSELL DRIVE PARK,Neighbourhood,,,,,,,,,,,
810,1.74,KINAP CANOE CLUB,Community,,,,,,,,,,,
813,0.96,EVERGREEN CRESCENT PARK,Neighbourhood,,,,,,,,,,,
815,0.88,SALTWATER LAKE PARK,Neighbourhood,,,,,,,,,,,
816,0.12,MAIN STREET CORNER PARK,Community,,,,,,,,,,,
829,0.15,COMMODORE PARK,Neighbourhood,,,,,,,,,,,
832,0.4,WYNDHOLME PARK,Neighbourhood,,,,,,,,,,,
855,0.18,CALEDONIA ROAD PARK,Community,,,,,,,,,,,
857,0.21,ROLEIKA DRIVE PARK,Neighbourhood,,,,,,,,,,,
893,102.4,ST. MARGARET'S BAY RAIL TO TRAILS PARK,Regional,,,,,,,,,,,
895,0.37,FOX HOLLOW DRIVE PARK,Neighbourhood,,,,,,,,,,,
896,0.97,AUDREY'S PARK,Neighbourhood,,,,,,,,,,,
898,0.07,LIMARDO DRIVE PARK,Neighbourhood,,,,,,,,,,,
901,0.28,STATES LANE PARK,Neighbourhood,,,,,,,,,,,
902,0.65,GRAYSON COURT PARK,Neighbourhood,,,,,,,,,,,
906,2.11,JOHN MARTIN JUNIOR HIGH SCHOOL PARK,Community,,,,,,,,,,,
907,0.2,NORTH DARTMOUTH COMMUNITY GARDEN,Community,,,,,,,,,,,
941,0.63,OWLS NEST ISLAND,Regional,,,,,,,,,,,
942,0.05,BRAEMAR DRIVE PARK,District,,,,,,,,,,,
954,0.51,LAWNSDALE DRIVE PARK,,,,,,,,,,,,
957,0.31,MAPLEWOOD DRIVE PARK,Neighbourhood,,,,,,,,,,,
958,2.46,KIWANIS GRAHAM'S GROVE PARK,District,,,,,,,,,,,
959,4.61,BIRCH COVE PARK,Community,,,,,,,,,,,
967,1.34,OAKWOOD PARK,Regional,,,,,,,,,,,
980,0.02,OAK STREET PARK,Neighbourhood,,,,,,,,,,,
982,3,CAROLYNS WAY PARK,Community,,,,,,,,,,,
996,1.14,STARR PARK,Regional,,,,,,,,,,,
997,0.27,PINE STREET PARK,Neighbourhood,,,,,,,,,,,
1002,0.1,OAKWOOD COURT PARK,Neighbourhood,,,,,,,,,,,
1021,0.52,EAST JEDDORE PARK,Community,,,,,,,,,,,
1035,3.95,COW BAY ROAD PARK,Community,,,,,,,,,,,
1036,0.38,YETTER PARK,Neighbourhood,,,,,,,,,,,
1037,0.72,TRAVIS COURT PARK,Neighbourhood,,,,,,,,,,,
1051,1.2,FLANDRUM HILL ROAD PARK,Neighbourhood,,,,,,,,,,,
1053,0.37,SPRUCE DRIVE PARK,Neighbourhood,,,,,,,,,,,
1061,0.12,UNNAMED PARK 14,Neighbourhood,,,,,,,,,,,
1065,0.1,CATHERINE FURNESS PARK,Neighbourhood,,,,,,,,,,,
1066,0.18,SHORE ROAD PARK,Neighbourhood,,,,,,,,,,,
1067,1.24,PARKEDGE CRESCENT PARK,Neighbourhood,,,,,,,,,,,
1070,0.73,ROSEWOOD LANE PARK,Neighbourhood,,,,,,,,,,,
1081,0.33,SEROP CRESCENT PARK,Neighbourhood,,,,,,,,,,,
1084,4.91,SILVER SANDS BEACH PARK,District,,,,,,,,,,,
1085,1.98,GREEN BAY PARK,Community,,,,,,,,,,,
1086,0.05,JOSEPH HOWE PARK,Community,,,,,,,,,,,
1088,0.1,DEYOUNG DRIVE PARK,Neighbourhood,,,,,,,,,,,
1090,0.23,HARMES DRIVE PARK,Neighbourhood,,,,,,,,,,,
1091,0.75,AUTUMN DRIVE PARK,,,,,,,,,,,,
1104,2.23,HACKETTS COVE PARK,Community,,,,,,,,,,,
1112,6.41,BILLY BOLLONG MEMORIAL PARK,Community,,,,,,,,,,,
1141,1.48,PLEASANT VALLEY PARK,Community,,,,,,,,,,,
1144,3.41,FRENCHMAN LAKE PARK,District,,,,,,,,,,,
1160,0.47,LAKEMIST COURT PARK,Neighbourhood,,,,,,,,,,,
1182,1.39,MORNINGTON COURT PARK,Community,,,,,,,,,,,
1203,0.92,PERRIN DRIVE PARK,District,,,,,,,,,,,
1210,8.79,DARTMOUTH HIGH SCHOOL PARK,Regional,,,,,,,,,,,
1215,0.42,SHIPSIDE LANE PARK,Community,,,,,,,,,,,
1223,0.77,GASTON ROAD PARK,Community,,,,,,,,,,,
1232,0.67,MARTINS PARK,Neighbourhood,,,,,,,,,,,
1238,2.2,LAKE ECHO COMMUNITY PLAY PARK,Community,,,,,,,,,,,
1241,0.28,CHAMBERLAIN DRIVE PARK,Neighbourhood,,,,,,,,,,,
1242,1,AARONS WAY PARK,Neighbourhood,,,,,,,,,,,
1243,0.31,MOSER RIVER PARK,Community,,,,,,,,,,,
1251,0.5,NEWCASTLE STREET PARK,Neighbourhood,,,,,,,,,,,
1261,0.22,CRATHORNE PARK,Neighbourhood,,,,,,,,,,,
1279,7.49,CRANBERRY LAKE PARK,Community,,,,,,,,,,,
1282,0.08,ALPINE DRIVE PARK,Neighbourhood,,,,,,,,,,,
1285,0.48,LANGDON DRIVE PARK,Neighbourhood,,,,,,,,,,,
1292,0.1,CHASWOOD DRIVE PARK,Neighbourhood,,,,,,,,,,,
1296,0.12,EMMA COURT PARK,Neighbourhood,,,,,,,,,,,
1302,2.41,DUTCH SETTLEMENT PARK,Community,,,,,,,,,,,
1305,1.05,COUNTRY LAKE DRIVE PARK,Neighbourhood,,,,,,,,,,,
1314,1.96,EVELYN WOOD PLACE PARK,Community,,,,,,,,,,,
1322,4.62,CHEVIOT HILLS PARK,Community,,,,,,,,,,,
1324,0.34,FEETHAM PARK,Neighbourhood,,,,,,,,,,,
1340,0.06,PETER BUCKLEY DRIVE PARK,Neighbourhood,,,,,,,,,,,
1341,0.02,WALKWAY TO SIR SANDFORD FLEMMING PARK,Neighbourhood,,,,,,,,,,,
1350,0.54,NAVIGATION WAY PARK,Neighbourhood,,,,,,,,,,,
1352,12.28,OLD COACH ROAD TRAIL PARK,Community,,,,,,,,,,,
1360,0.64,WHIMSICAL LAKE PARK,Neighbourhood,,,,,,,,,,,
1369,19.35,RAVENSCRAIG DRIVE PARK,District,,,,,,,,,,,
1406,0.83,PARTRIDGE NEST DRIVE PARK,Neighbourhood,,,,,,,,,,,
1407,0.49,ROACHES POND PARK,Community,,,,,,,,,,,
1409,0.39,KILLARNEY CRESCENT PARK,Neighbourhood,,,,,,,,,,,
1410,2.75,MICHELLE DRIVE PARK,Neighbourhood,,,,,,,,,,,
1416,0.15,SALMON RIVER DRIVE PARK,Neighbourhood,,,,,,,,,,,
1417,0.42,DEERMIST DRIVE PARK,Neighbourhood,,,,,,,,,,,
1423,0.2,BLUEROCK ROAD PARK,Community,,,,,,,,,,,
1425,0.68,SANDY LANE PARK,Neighbourhood,,,,,,,,,,,
1438,1.26,DEADMAN'S ISLAND PARK,Regional,,,,,,,,,,,
1454,0.67,NORDIC CRESCENT PARK,Neighbourhood,,,,,,,,,,,
1466,0.29,TIMBERLEA VILLAGE PARK,Community,,,,,,,,,,,
1468,0.55,GOVERNORS GLEN PARK,Community,,,,,,,,,,,
1469,7.81,HORSESHOE LAKE PARK,Community,,,,,,,,,,,
1473,0.11,NORTH GREEN ROAD PARK,Neighbourhood,,,,,,,,,,,
1475,0.1,PARKDALE PARK,Neighbourhood,,,,,,,,,,,
1492,1.46,MEADOWBROOK DRIVE PARK,Neighbourhood,,,,,,,,,,,
1498,3.12,CLARENCE COURT PARK,Community,,,,,,,,,,,
1515,0.02,BIRCHWOOD PARK,Neighbourhood,,,,,,,,,,,
1516,3.29,CHAIN LAKE PARK,Community,,,,,,,,,,,
1526,4.51,HAIL POND PARK,Community,,,,,,,,,,,
1542,0.22,LEO LANIGAN PARK,Neighbourhood,,,,,,,,,,,
1553,4.17,J. ALBERT WALKER PARK,Community,,,,,,,,,,,
1554,0.59,STANLEY I. RAINE PARK,Neighbourhood,,,,,,,,,,,
1557,0.07,CATHERINE MACLEAN SULLIVAN PARK,Community,,,,,,,,,,,
1559,2.71,CONNROSE PARK,Community,,,,,,,,,,,
1569,5.28,HALIFAX CENTRAL COMMON,Regional,,,,,,,,,,,
1589,0.47,MURRAY WARRINGTON PARK,Neighbourhood,,,,,,,,,,,
1605,0.53,ARDMORE PARK,Neighbourhood,,,,,,,,,,,
1620,0.17,TENON DRIVE PARK,Neighbourhood,,,,,,,,,,,
1621,1.7,JACKLADDER PARK,Community,,,,,,,,,,,
1624,0.4,LOU GODDARD MEMORIAL PARK,Community,,,,,,,,,,,
1628,0.56,ISLEVILLE PARK,Community,,,,,,,,,,,
1636,0.14,HYDROSTONE PARK,Neighbourhood,,,,,,,,,,,
1638,0.06,BILBY STREET PARK,Neighbourhood,,,,,,,,,,,
1643,0.47,MEMORIAL DRIVE TRAIL,Community,,,,,,,,,,,
1662,0.29,COGSWELL PARK,Neighbourhood,,,,,,,,,,,
1663,0.43,CHEBUCTO ROAD PARK,Neighbourhood,,,,,,,,,,,
1665,0.09,NICK MEAGHER PARK,Community,,,,,,,,,,,
1667,0.07,FOSTER PARK,Community,,,,,,,,,,,
1691,2.48,SAUNDERS PARK,Neighbourhood,,,,,,,,,,,
1693,1.12,LARRY O'CONNELL PARK,Community,,,,,,,,,,,
1719,0.89,VICTORIA PARK,District,,,,,,,,,,,
1862,0.09,MONT BLANC TERRACE PARK,Neighbourhood,,,,,,,,,,,
1863,0.13,GLEBE STREET PARKETTE,Neighbourhood,,,,,,,,,,,
