OBJECTID,QUALIFIER
10954,Sunday Only
10955,Sunday Only
10968,Saturday & Sunday Only
10971,8am-6pm Mon-Fri
11010,Sunday Only
11054,6am-6pm Mon-Fri
11056,Sunday Only
11072,8am-6pm Mon-Fri
11089,Sunday Only
11093,Sunday Only
11095,Sunday Only
11107,Sunday Only
